"name","tweet","is_real","sentiment_raw","sentiment_val","sentiment_score","sentiment_val_binary","anger","disgust","fear","joy","neutral","sadness","surprise"
"Billie Eilish","To celebrate Earth Day, Billie has teamed up with 3 rising businesses that are leading the charge in the sustainable production space. These capsules showcase how style, innovation, and creativity can coexist in the things we make, while being mindful of the impact on our planet. Shop the capsules now on Billies store",NA,"POSITIVE:0.998986780643463","POSITIVE",0.998986780643463,1,0.0099513242021203,0.00392891513183713,0.00216567632742226,0.103785306215286,0.839183568954468,0.00333819561637938,0.0376470424234867
"Billie Eilish","BERLIN: The HIT ME HARD AND SOFT Pop-Up begins tomorrow! Open May 9 + 10 from 12:00 UHR to 17:00 UHR & May 11 from 14:00 UHR to 20:00 UHR",NA,"POSITIVE:0.99777102470398","POSITIVE",0.99777102470398,1,0.0256265550851822,0.00162129430100322,0.0053823902271688,0.079715184867382,0.640678763389587,0.0123844398185611,0.234591424465179
"Ryan Reynolds","Back to back to back is a metaphor for an unprecedented run of promotions and not for drinking a bunch of delicious beverages in a row but one could be forgiven for inferring that.",NA,"POSITIVE:0.974160969257355","POSITIVE",0.974160969257355,1,0.0143929766491055,0.0551731251180172,0.0012075686827302,0.0149207795038819,0.898435831069946,0.00572930043563247,0.0101404031738639
"Ryan Reynolds","Love these boys. @Wrexham_AFC",NA,"POSITIVE:0.999803960323334","POSITIVE",0.999803960323334,1,0.0103424265980721,0.00109809648711234,0.00197679828852415,0.958491027355194,0.00680992845445871,0.0188898295164108,0.00239184382371604
"Elon Musk","Starlink continuity test with Diablo Hardcore.   Any major lag or a brief loss of connection means permadeath, so it is the best test.",NA,"POSITIVE:0.771799087524414","POSITIVE",0.771799087524414,1,0.00367429270409048,0.00168001744896173,0.00714467233046889,0.110696062445641,0.794360280036926,0.0277382079511881,0.0547065436840057
"Elon Musk","Using Tesla Autopilot self-driving massively improves safety for you and others on the road",NA,"POSITIVE:0.996823191642761","POSITIVE",0.996823191642761,1,0.0112716602161527,0.00472666183486581,0.139299005270004,0.0313858203589916,0.776941359043121,0.0105702113360167,0.0258053261786699
"Kanye West","Why are the most offensive people the most easily offended",NA,"NEGATIVE:0.999162673950195","NEGATIVE",0.999162673950195,0,0.713092803955078,0.171811327338219,0.00985723920166492,0.00164544477593154,0.0659441202878952,0.00768372509628534,0.029965240508318
"Kanye West","Do Jesse Jo Stark play the Jesse song?",NA,"NEGATIVE:0.998199701309204","NEGATIVE",0.998199701309204,0,0.00565267726778984,0.00994081143289804,0.00435033440589905,0.00344070349819958,0.857846140861511,0.00664081005379558,0.112128600478172
"Taylor Swift","Well be kicking off the final leg of The Eras Tour this week, which is hard to comprehend. This tour has been the most wondrous experience and I knew I wanted to commemorate the memories we made together in a special way. Well, two ways actually. Excited to announce that The Official Eras Tour Book, filled with my own personal reflections, never-before-seen behind the scenes photos, all the magical memories you guys brought every single night AND . The Tortured Poets Department: The Anthology on vinyl and CD will all be available for the first time ever only at  @Target  starting Nov 29th. __  International info coming soon!",NA,"POSITIVE:0.99781346321106","POSITIVE",0.99781346321106,1,0.00248645455576479,0.000620353443082422,0.00476640462875366,0.819421648979187,0.0241321343928576,0.00440120743587613,0.144171759486198
"Taylor Swift","Just 13 days til The Tortured Poets Department: The Anthology on vinyl and CD AND The Official Eras Tour Book are all available for the first time ever at  @Target !__ __  International info coming soon __",NA,"NEGATIVE:0.863444268703461","NEGATIVE",0.863444268703461,0,0.0458288863301277,0.00170177279505879,0.0454613827168941,0.348650217056274,0.27764755487442,0.0442425981163979,0.236467584967613
"Conan O'Brien","Maintaining perspective, ""dishing on bitches"", and the constant surprises of living with MS: Listen to my conversation with Christina Applegate ( @1capplegate ) & Jamie-Lynn Sigler",NA,"POSITIVE:0.996635973453522","POSITIVE",0.996635973453522,1,0.00231011118739843,0.0013335618423298,0.00307194166816771,0.473124772310257,0.368715286254883,0.033658392727375,0.117785915732384
"Conan O'Brien","Want to watch the world's most handsome man and Javier Bardem eat churros? A brand new episode of #ConanOBrienMustGo is available to  @streamonmax  now.",NA,"POSITIVE:0.699221611022949","POSITIVE",0.699221611022949,1,0.0172909777611494,0.000521385576575994,0.0342334546148777,0.698152661323547,0.0836402103304863,0.0100211817771196,0.156140148639679
"Tyler, the Creator","first leg of the CHROMAKOPIA TOUR was great.  new fans, old fans, people that came and became a fan, people who came and hated it,  thank you ALL for coming.  tell a friend about it",NA,"POSITIVE:0.999710738658905","POSITIVE",0.999710738658905,1,0.00824565906077623,0.00156903138849884,0.00154968874994665,0.674160242080688,0.0925987437367439,0.027996089309454,0.193880453705788
"Tyler, the Creator","both nights in paris at accor arena was incredible, merci",NA,"POSITIVE:0.999847531318665","POSITIVE",0.999847531318665,1,0.00246025226078928,0.000653417897410691,0.0152108045294881,0.393528342247009,0.0245812181383371,0.00541795464232564,0.55814802646637
